UFVPY218_contig4064,mitochondrion
UFVPY218_contig3046,mitochondrion
UFVPY218_contig989,mitochondrion
UFVPY218_contig911,mitochondrion
UFVPY218_contig208,mitochondrion
UFVPY218_contig5338,mitochondrion
UFVPY218_contig3599,mitochondrion
UFVPY218_contig2575,mitochondrion
UFVPY218_contig4150,mitochondrion
UFVPY218_contig3446,mitochondrion
UFVPY218_contig3098,mitochondrion
UFVPY218_contig4356,mitochondrion
UFVPY218_contig931,mitochondrion
UFVPY218_contig4732,mitochondrion
UFVPY218_contig3447,mitochondrion
UFVPY218_contig3265,mitochondrion
UFVPY218_contig1242,mitochondrion
UFVPY218_contig4063,mitochondrion
UFVPY218_contig5619,mitochondrion
UFVPY218_contig4807,mitochondrion
UFVPY218_contig4785,mitochondrion
UFVPY218_contig5147,mitochondrion
UFVPY218_contig4167,mitochondrion
UFVPY218_contig2576,mitochondrion
UFVPY218_contig5099,mitochondrion
